                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.1289,                0.89966,                 1.2909,                0.64835,                0.55625,                0.58273,                 0.2536,                 2.0747,                  1.344,                 1.9915,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.1273,                0.87845,                 1.2755,                0.61568,                0.66875,                0.55026,                0.25209,                 2.1523,                 1.6026,                 2.0293,               0.001142,               0.001142,               0.001142
                    133,                 1.1413,                0.86885,                 1.2783,                0.62372,                 0.5625,                0.52286,                0.22421,                 2.0825,                 1.4533,                 1.9147,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.1237,                0.86348,                 1.2822,                0.62578,                0.59375,                0.53864,                0.24453,                  2.172,                 1.3704,                 1.9574,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.1463,                0.88293,                 1.2893,                0.60713,                0.64375,                0.53577,                0.22487,                 2.3004,                 1.4384,                 2.1338,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.1127,                0.87341,                  1.269,                0.61543,                0.63013,                0.55052,                0.24496,                 2.1647,                 1.5371,                 2.0323,              0.0011156,              0.0011156,              0.0011156
                    137,                 1.1031,                0.86313,                  1.269,                0.58716,                   0.55,                0.52235,                0.21773,                 2.1267,                 1.5019,                 1.9813,               0.001109,               0.001109,               0.001109
                    138,                 1.1183,                0.82166,                 1.2558,                0.63418,                0.58125,                0.53711,                 0.2152,                  2.091,                 1.4654,                 2.0057,              0.0011024,              0.0011024,              0.0011024
                    139,                 1.1124,                0.85182,                 1.2754,                0.53875,                    0.6,                0.48985,                0.19949,                 2.2151,                 1.5007,                 2.0758,              0.0010958,              0.0010958,              0.0010958
                    140,                 1.0752,                0.84655,                 1.2715,                 0.5963,                0.61875,                0.54131,                 0.2235,                 2.1653,                 1.4789,                 2.0126,              0.0010892,              0.0010892,              0.0010892
                    141,                 1.1185,                0.85405,                 1.2816,                0.61407,                0.60625,                 0.5499,                0.23684,                  2.171,                 1.5227,                 2.0696,              0.0010826,              0.0010826,              0.0010826
                    142,                 1.1126,                0.87664,                 1.2775,                0.66479,                0.55625,                0.51774,                0.21127,                 2.2975,                 1.4551,                 2.2111,               0.001076,               0.001076,               0.001076
                    143,                 1.1011,                0.85618,                 1.2616,                0.58026,                0.63074,                0.50596,                0.22978,                 2.1103,                 1.4125,                 2.0482,              0.0010694,              0.0010694,              0.0010694
                    144,                 1.1301,                0.85955,                 1.2632,                0.58297,                 0.6875,                0.51237,                0.22055,                 2.0993,                 1.4901,                 1.9877,              0.0010628,              0.0010628,              0.0010628
                    145,                 1.0633,                0.83019,                 1.2546,                0.71247,                0.60625,                0.57588,                0.24943,                 2.0138,                 1.4902,                 1.9461,              0.0010562,              0.0010562,              0.0010562
                    146,                 1.1345,                0.86229,                 1.3025,                0.63479,                0.59375,                0.54391,                0.21597,                 2.1009,                 1.5123,                 2.0143,              0.0010496,              0.0010496,              0.0010496
