                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.65666,                0.36358,                0.84044,                0.79877,                0.68097,                0.74753,                0.39986,                 1.5421,                0.99953,                 1.2407,             0.00034674,             0.00034674,             0.00034674
                    123,                0.66239,                0.35825,                0.83779,                0.78698,                0.70761,                0.75418,                0.40289,                 1.5496,                0.95483,                 1.2468,             0.00033573,             0.00033573,             0.00033573
                    124,                 0.6427,                0.35633,                0.83968,                0.83682,                0.68102,                0.75262,                0.39381,                 1.5558,                0.94366,                  1.252,             0.00032473,             0.00032473,             0.00032473
                    125,                0.64857,                0.35392,                0.83991,                0.79609,                0.67926,                0.74543,                 0.3952,                 1.5639,                0.96001,                 1.2532,             0.00031373,             0.00031373,             0.00031373
                    126,                0.64714,                0.36116,                0.83966,                0.74196,                0.71467,                0.73818,                 0.3874,                 1.5822,                0.98479,                 1.2687,             0.00030273,             0.00030273,             0.00030273
                    127,                0.64857,                0.36186,                  0.837,                0.79811,                0.69457,                0.76379,                0.39872,                  1.577,                0.93761,                 1.2588,             0.00029172,             0.00029172,             0.00029172
                    128,                0.63501,                0.35316,                0.83694,                0.84446,                0.66902,                0.77105,                 0.4039,                 1.5635,                0.96893,                 1.2506,             0.00028072,             0.00028072,             0.00028072
                    129,                0.63769,                0.35178,                0.83233,                0.78219,                0.70897,                0.76704,                0.40524,                 1.5652,                 0.9589,                 1.2553,             0.00026972,             0.00026972,             0.00026972
                    130,                0.64175,                0.35006,                0.83663,                0.78641,                0.72283,                0.77394,                0.40795,                 1.5785,                0.93626,                 1.2712,             0.00025872,             0.00025872,             0.00025872
                    131,                0.64098,                0.35171,                0.83993,                0.75859,                0.69728,                0.74777,                0.38875,                 1.5664,                0.96466,                 1.2656,             0.00024772,             0.00024772,             0.00024772
                    132,                0.63524,                0.35283,                0.83309,                0.74548,                 0.7288,                0.77141,                0.40359,                 1.5658,                0.93452,                 1.2649,             0.00023671,             0.00023671,             0.00023671
                    133,                0.63969,                0.35569,                0.82888,                0.74909,                0.73209,                0.77241,                0.40186,                 1.5564,                0.97015,                 1.2507,             0.00022571,             0.00022571,             0.00022571
                    134,                 0.6225,                0.34237,                0.83476,                 0.7677,                0.72508,                 0.7699,                0.40245,                 1.5736,                0.97462,                 1.2594,             0.00021471,             0.00021471,             0.00021471
                    135,                0.61991,                0.34054,                0.83392,                0.82334,                0.70764,                0.77532,                0.40924,                 1.5671,                0.91436,                 1.2646,             0.00020371,             0.00020371,             0.00020371
                    136,                 0.6352,                0.35373,                0.83405,                0.80682,                0.69147,                0.76784,                0.40253,                 1.5547,                0.96881,                 1.2572,             0.00019271,             0.00019271,             0.00019271
                    137,                0.61155,                0.33719,                0.83508,                0.77954,                0.68533,                0.76301,                0.40433,                 1.5592,                0.97856,                 1.2617,              0.0001817,              0.0001817,              0.0001817
                    138,                0.61272,                0.33446,                0.83308,                0.82413,                0.68909,                0.77237,                0.40843,                 1.5525,                0.93759,                 1.2606,              0.0001707,              0.0001707,              0.0001707
                    139,                0.60956,                0.33657,                0.83292,                0.78129,                0.69937,                0.76707,                0.41065,                 1.5701,                 0.9237,                 1.2665,              0.0001597,              0.0001597,              0.0001597
                    140,                0.61503,                0.33871,                0.83755,                0.82658,                0.67913,                0.76624,                 0.4055,                 1.5703,                 0.9384,                 1.2653,              0.0001487,              0.0001487,              0.0001487
